playlist_id,playlist_name,description,user_id
1,"Rock Classics","A selection of classic rock tracks",42
2,"Blues Bliss","Collection of soothing blues songs",42
3,"Jazz Junction","A playlist for jazz lovers",42
4,"Pop Parade","A lively collection of popular tracks",42
5,"Metal Mania","Headbanging metal tracks",42
6,"Indie Inspirations","Indie music for your soul",42
7,"Retro Rewind","Throwback to the old classics",42
8,"Country Comfort","Country music to soothe your soul",42
9,"Rap Rebellion","The best of rap music",42
10,"Dance Delight","Dance music to groove to",42
11,"Reggae Rhythm","Feel the rhythm of reggae",14
12,"Soulful Serenade","Soul music for your senses",14
13,"Electronic Excursion","Explore the world of electronic music",14
14,"Hip Hop Hype","The hypest hip hop tracks",14
15,"Folklore Fantasy","A selection of folklore music",14
16,"Classical Calm","Classical music for relaxation",75
17,"Punk Power","Energetic punk rock tracks",75
18,"Groovy Grunge","Grunge music from the 90s",75
19,"Disco Dynamite","Tracks from the disco era",75
20,"Latin Love","A collection of passionate Latin songs",75
21,"Bollywood Beats","The best of Bollywood music",33
22,"Anime Anthems","Music from popular anime shows",33
23,"K-pop Konnection","Top K-pop tracks",33
24,"Techno Triumph","Banging techno beats",22
25,"Ambient Ascension","Soothing ambient tracks",22
26,"Ska Surprises","A selection of ska music",22
27,"Gospel Glory","Inspiring gospel songs",22
28,"New Wave Wonders","New Wave hits from the 80s",79
29,"Synthwave Sensations","Experience the world of synthwave",79
30,"Lo-fi Leisure","Chill lo-fi beats",79
31,"Trance Trip","Enter the trance zone",47
32,"Dubstep Drive","Hard-hitting dubstep tracks",47