track_id,title
1,Imagine
2,Hey Jude
3,Angie
4,Riders on the Storm
5,Comfortably Numb
6,Stairway to Heaven
7,Bohemian Rhapsody
8,Smells Like Teen Spirit
9,Sweet Child o' Mine
10,With or Without You
11,Just Like Heaven
12,Your Song
13,Piano Man
14,Born to Run
15,Superstition
16,Billie Jean
17,Purple Rain
18,Like a Virgin
19,I Will Always Love You
20,My Heart Will Go On
21,Blowin' in the Wind
22,Hotel California
23,London Calling
24,Satisfaction
25,Like a Rolling Stone
26,Good Vibrations
27,What's Going On
28,Respect
29,Imagine
30,Smells Like Teen Spirit
31,Johnny B. Goode
32,I Want to Hold Your Hand
33,Layla
34,Light My Fire
35,One
36,London Calling
37,I Can't Get No Satisfaction
38,Dazed and Confused
39,Imagine
40,Hey Jude
41,Bohemian Rhapsody
42,Smells Like Teen Spirit
43,Hotel California
44,Stairway to Heaven
45,Let It Be
46,Beat It
47,Superstition
48,Born in the USA
49,Don't Stop Believin'
50,Purple Rain